sample_name,Modelled date (cal. BP) ,depth cm,Pinaceae,Picea,Pinus,Betulaceae,Alnus,Fagaceae,Salix,Populus,Saliceae,Salicaceae,Shepherdia,Elaeagnus,Elaeagnaceae,Poaceae,BEP clade,Pooideae,Brachypodium,Poeae,Agrostis,Loliinae,Lolium,Aegilops,Elymus,Hordeum,Leymus,Secale,PACMAD clade,Panicoideae,Carex,Cariceae,Cyperoideae,Cyperaceae,Artemisiinae,Artemisia,Anthemideae,Asteroideae,Asteraceae,Rosa,Potentilleae,Rosoideae,Rosaceae,Rosales,Rosids,Astragalus,Fabaceae,Euphorbiaceae,Brassicaceae,Monocots,Magnoliaceae,Vaccinium,Ericaceae,Mentheae,Lamiaceae,Typha,Typhaceae,Characeae,Ceratophyllum,Myriophyllum,Haloragaceae,Potamogeton,Potamogetonaceae,Equisetum,Cryptomonas,Asterionella,Nannochloropsis,Chlorophyceae,Chlamydomonas,Chlamydomonadaceae,Scenedesmaceae,Trebouxiophyceae,Chlorella,Chlorellaceae,Choricystis,Amborella,Shift,Heterolobsea,Perciformes labrax,Culaea,Gasterosteus,Esox,Castor,Microtus ,Bison,Alces,Eptesicus,Prolecithophora,Gyratrix,Echinostoma,Fasciola,Trichobilharzia,Toxocara,Ixodes,Daphnia,Simocephalus,Macrothricidae,Triops,Gammarus,Hyalella,Anaspides,Cyclopidae,Lepidoptera,Drosophila,Musca,Chironomidae,Anopheles,Formica,Chaetogaster diaphanus,Ilyodrilus,Stylaria,Chaetonotidae,Chaetonotus,Adineta,Hydra
SPL_15_1444,1444,15,216,1047,292,25,59,0,616,4547,485,73,0,0,0,6,38,33,0,37,0,0,0,0,44,0,0,0,0,44,17,2,0,0,0,0,0,0,0,0,1,18,122,8,38,0,1,52,0,80,0,0,0,0,0,0,0,0,753,288,37,34,33,0,34,190,64,24,0,0,30,24,70,28,0,55,Metazoa,0.881588810907353,5.289532865,3.96714964908309,11.0198601363419,0,0.440794405453676,1.76317762181471,1,0,0,0,0.881588810907353,0.440794405453676,0,0,0,0,57.7440671144316,1.32238321636103,0,0,1.32238321636103,0.440794405453676,0,0.881588810907353,0,0.440794405453676,0,0.440794405453676,0,0,2.20397202726838,0.881588810907353,0.440794405453676,1.76317762181471,0.881588810907353,1.32238321636103,3.08556083817574
SPL_55_3112,3113,55,153,611,63,31,57,29,542,5096,473,81,0,0,0,5,38,26,0,32,0,0,0,0,39,0,0,0,0,0,17,0,0,0,0,0,0,0,28,0,0,0,80,9,45,0,2,55,0,141,14,0,0,28,2,0,0,0,380,246,37,111,50,45,0,39,728,24,0,0,41,58,48,37,0,42,Metazoa,0,1.178707403,1.17870740337141,5.89353701685703,1.17870740337141,0.589353701685703,0,0,0.589353701685703,0,0.589353701685703,0.589353701685703,0.589353701685703,0,0,0,0,12.9657814370855,0,0,0,0.589353701685703,0.589353701685703,0.589353701685703,2.35741480674281,0.589353701685703,0,0.589353701685703,0.589353701685703,0,0,1.17870740337141,1.17870740337141,1.17870740337141,0,0.589353701685703,0.589353701685703,0.589353701685703
SPL_113_5430,5431,113,117,399,0,32,48,24,338,6350,329,62,0,0,0,5,25,22,0,19,0,0,0,0,29,0,0,0,0,0,14,0,27,3,0,0,0,0,0,0,0,28,129,10,0,0,1,51,0,82,10,0,0,28,5,0,0,22,489,120,17,56,27,99,0,26,320,46,21,4,0,28,27,16,21,48,Metazoa,0.604317117415386,1.611512313,1.20863423483077,1.81295135224616,0.604317117415386,0.201439039138462,0.805756156553847,0,1.00719519569231,0.402878078276924,0,0,0.201439039138462,0,0.201439039138462,0,0.402878078276924,13.8992937005539,0,0.604317117415386,0.402878078276924,0,0,0.805756156553847,0.604317117415386,0.402878078276924,0.201439039138462,0.402878078276924,0.201439039138462,0.402878078276924,0,0,0,0,0.201439039138462,0.201439039138462,0.201439039138462,0.201439039138462
SPL_153_7001,7001,153,240,321,0,0,0,0,260,6572,481,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,20,49,0,0,140,0,200,0,0,0,0,0,0,0,0,0,481,20,200,140,140,0,0,0,0,0,0,0,80,0,0,0,0,Metazoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0922496570645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPL_173_7782,7782,173,114,332,33,0,0,0,343,5636,484,38,0,0,0,0,0,5,0,5,0,0,0,0,5,0,0,0,0,27,0,0,33,0,0,0,0,0,0,0,0,0,92,5,35,0,5,44,0,92,5,0,0,38,5,0,0,0,283,299,44,82,44,27,0,0,1126,71,131,0,0,5,27,16,0,0,Metazoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.44155642506677,70.740233525868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPL_191_8967,8967,191,83,265,35,0,0,0,252,5061,424,76,0,0,0,0,0,33,0,12,0,0,0,0,27,0,0,0,0,0,30,3,95,9,0,0,0,0,0,0,0,0,92,12,2,0,5,35,0,235,44,0,0,0,0,0,0,35,523,342,52,176,124,32,50,0,902,64,71,6,0,6,0,29,30,35,Metazoa,1.51587425170421,1.515874252,0,0,0,0,1.51587425170421,0,0,0,0,0,0,0,0,0,0,157.650922177238,0,0,0,3.03174850340842,4.54762275511263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPL_193_9133,9133,193,40,118,38,0,0,0,166,3406,264,58,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,35,0,40,8,0,0,0,0,0,0,0,0,63,10,0,0,0,0,0,126,15,0,0,0,0,0,30,0,161,299,58,105,48,0,33,0,3554,103,161,35,0,63,65,10,281,38,Metazoa,0,12.56121864,0,5.02448745519713,0,0,0,0,0,0,0,0,0,0,0,2.51224372759857,2.51224372759857,52.7571182795699,0,0,0,0,0,0,0,5.02448745519713,0,0,0,5.02448745519713,0,0,0,0,2.51224372759857,0,2.51224372759857,0
SPL_195_9299,9300,195,133,345,0,26,0,0,263,5247,350,85,0,0,0,0,0,50,0,14,0,0,0,0,29,0,0,0,0,0,25,0,120,13,0,0,0,0,0,0,0,0,82,9,0,0,1,60,0,173,37,0,0,0,0,0,0,0,243,153,15,107,50,0,0,0,1768,20,0,25,0,28,0,0,0,26,Metazoa,1.16767955432943,1.167679554,0,0,0,0,0,0,0,1.16767955432943,1.16767955432943,0,0,1.16767955432943,2.33535910865886,1.16767955432943,0,40.86878440153,0,0,0,0,0,0,0,0,1.16767955432943,0,0,1.16767955432943,0,0,0,0,0,0,0,0
SPL_221_11440,11440,221,0,0,0,0,0,0,154,7564,469,162,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,40,380,16,45,0,0,73,0,105,0,0,0,0,0,0,0,0,0,0,0,97,40,0,0,0,48,97,0,40,0,8,0,40,97,0,Metazoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.0144546042302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPL_235_11534,11535,235,0,0,0,0,0,0,174,8366,185,53,33,18,35,0,0,13,0,15,0,0,0,0,44,0,0,22,0,83,0,0,0,0,0,0,0,0,0,0,1,22,83,19,17,0,0,47,19,11,0,123,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,Metazoa,0,0,0,0,0,0,0,0,0,0,0,0,0,1.20885936228045,0,1.20885936228045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
